,X,Y,Z,Nphi
181,335348.63344310917,4263044.587,-152.19898468228234,6.639872040375157
182,335351.60298442957,4263044.53125278,-149.95715636726732,9.581110819658525
183,335347.77491170453,4263044.475878469,-147.7153280522523,5.724550938983555
184,335372.37162947154,4263044.420572999,-145.47349973723726,30.29281597101426
185,335383.51780021086,4263044.365,-143.23167142222223,41.41040021085562
186,335357.2320776107,4263044.309834573,-140.98984310720726,15.09629489768198
187,335351.78134660335,4263044.253976123,-138.74801479219224,9.617225114624043
188,335350.0558650946,4263044.199,-136.5061864771772,7.863022592530157
189,335350.07407326775,4263044.143242824,-134.26435816216218,7.852994679935006
190,335350.09073119983,4263044.087754213,-132.0225298471472,7.84091975307123
191,335351.9720410117,4263044.032,-129.78070153213218,9.693741011690506
192,335352.30401659926,4263043.976853234,-127.53887321711716,9.997343216145184
193,335360.2016140681,4263043.921545878,-125.29704490210213,17.86652324378491
194,335351.11587883125,4263043.865913981,-123.0552165870871,8.752035821434893
195,335349.70407798834,4263043.811000001,-120.81338827207213,7.312017092300195
196,335347.2117607872,4263043.755181242,-118.5715599570571,4.791042028962644
197,335348.2155641789,4263043.699634305,-116.32973164204208,5.766681331255956
198,335361.492122059,4263043.64445222,-114.08790332702705,19.014529057570055
199,335346.60896392906,4263043.58880028,-111.84607501201208,4.102984041322584
200,335348.25391195837,4263043.533462556,-109.60424669699705,5.719443236417399
201,335346.97870437556,4263043.4778440865,-107.36241838198202,4.4156264189077
202,335348.88797000743,4263043.438999999,-105.120590066967,6.302970007437839
203,335349.10775423865,4263043.428,-102.87876175195197,6.51205423862899
204,335350.2654889898,4263043.416999999,-100.636933436937,7.658732826800499
205,335352.098812287,4263043.406,-98.39510512192197,9.48111228697007
206,335349.24676446366,4263043.394826535,-96.15327680690694,6.618277731329673
207,335347.7239747896,4263043.383,-93.91144849189192,5.0846658586243505
208,335347.86389075813,4263043.3719999995,-91.66962017687695,5.213490758126216
209,335357.4762346466,4263043.3610000005,-89.42779186186192,14.815134646522182
210,335346.4092008585,4263043.35,-87.18596354684689,3.7368900821300413
211,335345.554746856,4263043.338,-84.94413523183186,2.871646855963842
212,335346.9674434142,4263043.327,-82.70230691681684,4.273643414206588
213,335346.697394955,4263043.316000001,-80.46047860180187,3.9922949549587026
214,335346.7953514059,4263043.304769771,-78.21865028678684,4.079551405941063
215,335346.1961382348,4263043.2930000005,-75.97682197177181,3.469496765815763
216,335345.64651469374,4263043.282,-73.73499365675679,2.9087749232355415
217,335345.62014685594,4263043.271000001,-71.49316534174176,2.871646855963842
218,335346.25032534986,4263043.26,-69.25133702672679,3.4910253498567556
219,335345.7413746261,4263043.248510873,-67.00950871171176,2.9711300625759405
220,335345.91949521593,4263043.237,-64.76768039669673,3.1381952159791915
221,335348.6267771378,4263043.226,-62.525852081681705,5.8346805452290855
222,335345.7281606838,4263043.215,-60.284023766666735,2.92496068379457
223,335346.06219521706,4263043.204,-58.04219545165171,3.2481952170346773
224,335345.6183919367,4263043.192,-55.80036713663668,2.7936919366840107
