xloc,yloc,zloc,phase,date_clock,tsec,t0_loc,eigval_max,eigval_mid,eigval_min,eigvec_max_e,eigvec_max_n,eigvec_max_u,eigvec_mid_e,eigvec_mid_n,eigvec_mid_u,mom,fc_p,fc_s,rad,sd,mw,energy,src_nrcv,src_misfit,mom_sdev,fc_sdev,snr_loc,orthogonality,distance_rcv,noise_level_acc
335269.5,4263101.3,389,2,28:04:19:09:31:32,639092,0.2475,86.05,59.27,46.82,0.63779,-0.41614,-0.64812,0.34239,0.90695,-0.24539,1.01E+07,187.2,96.8,6.39,16917.059,-1.331,3.05E+00,11,0.3139,5.43E+06,45.2,5.4,0.807,1374,4.01E-06
335286.7,4263166.5,367.4,2,28:04:19:09:31:37,639097,0.0332,72.41,42.6,9.7,0.79289,-0.30994,-0.52465,0.34039,0.93941,-0.04054,2.02E+06,149.8,115.6,6.51,3205.09,-1.796,1.16E-01,9,0.2603,6.96E+05,17.1,2.1,0.612,1354.5,2.67E-06
335435.2,4262966.2,474.1,2,28:04:19:09:31:58,639118,0.0049,71.79,16.09,11.19,0.92196,0.15147,-0.35644,-0.13941,0.98845,0.05947,2.94E+06,148.5,125.3,6.23,5318.567,-1.687,2.85E-01,11,0.2995,2.70E+06,11.6,4.7,0.825,1399.5,2.34E-06
335383.1,4263074,398.7,2,28:04:19:09:32:01,639121,0.37,43.17,33.02,25.5,0.56664,-0.63193,-0.52875,0.39192,-0.35777,0.84758,6.46E+06,151.9,116.6,6.33,11133.907,-1.46,1.33E+00,11,0.3286,3.00E+06,17.6,6.3,0.844,1343.2,3.96E-06
335378.7,4263036.4,392.1,2,28:04:19:09:32:14,639134,0.409,87.97,45.4,23.75,0.66159,-0.60647,-0.44101,0.53537,0.79382,-0.28849,6.13E+06,170.7,137.9,5.51,16066.321,-1.475,1.83E+00,11,0.3157,1.45E+06,16.4,5,0.81,1336.4,2.10E-06
335502.3,4263071.5,444.1,2,28:04:19:09:32:36,639156,0.3191,69.71,27.82,10.6,0.92078,-0.29986,-0.24949,0.30219,0.95278,-0.02982,2.36E+06,128.1,129.4,6.7,3429.044,-1.752,1.47E-01,9,0.2834,1.42E+06,0.7,2.5,0.813,1357,2.07E-06
335268.3,4263100.6,309.5,2,28:04:19:09:32:46,639166,0.3518,75.63,67.62,9.96,0.84906,-0.14619,-0.50767,0.17354,0.9848,0.00667,3.48E+06,146.3,122.5,6.37,5893.09,-1.639,3.73E-01,11,0.3018,1.43E+06,11.9,3.4,0.866,1301.3,2.37E-06
335248.5,4263110,313.2,2,28:04:19:09:33:03,639183,0.7429,69.27,56.1,9.49,0.84206,-0.15037,-0.518,0.18042,0.98356,0.00778,1.74E+06,151.9,137.7,5.93,3644.341,-1.84,1.15E-01,11,0.272,1.56E+06,7.2,2.6,0.687,1313.4,2.10E-06
335314.8,4263121.1,337.6,2,28:04:19:09:33:06,639186,0.7905,92.37,64.81,30,0.67928,-0.54292,-0.49378,0.51987,0.83089,-0.1984,3.63E+06,174.8,117.3,5.97,7481.408,-1.627,4.86E-01,11,0.3197,9.75E+05,28.7,4.1,0.806,1311.6,2.36E-06
335271.2,4263072.7,356.2,2,28:04:19:09:33:11,639191,0.7305,87.4,35.52,33.12,0.76672,-0.31191,-0.56112,0.10451,0.92302,-0.37028,2.77E+06,145.8,143.5,6.03,5531.569,-1.705,2.74E-01,10,0.3121,9.12E+05,1.2,3.6,0.803,1341,2.58E-06
335289.9,4263183.7,351.2,2,28:04:19:09:33:21,639201,0.2866,70.88,52.62,9.69,0.79977,-0.27705,-0.53255,0.32107,0.947,-0.01048,3.04E+06,84.1,102,9.66,1475.751,-1.678,8.04E-02,7,0.2475,6.69E+06,8.9,2.4,0.599,1340.7,2.05E-06
335410.4,4263149.9,419.3,2,28:04:19:09:33:48,639228,0.7535,117.5,81.06,30.75,0.48018,-0.8143,-0.32611,0.7859,0.56451,-0.25238,2.74E+06,136.2,161.7,5.91,5792.833,-1.708,2.94E-01,11,0.3154,8.24E+06,12.7,4.1,0.761,1361.7,2.78E-06
335304.2,4263128.5,444.1,2,28:04:19:09:33:51,639231,0.7735,124.48,68.69,25.15,0.63574,-0.63705,-0.43589,0.60267,0.76248,-0.23539,3.21E+06,148.7,109,6.67,4736.153,-1.662,2.78E-01,10,0.3018,7.25E+05,19.8,4.6,0.885,1415.3,2.41E-06
335489.5,4263020.8,435.9,2,28:04:19:09:34:10,639250,0.6739,73.81,26.61,9.59,0.93919,-0.11072,-0.32507,0.11376,0.99346,-0.00972,1.61E+06,148.4,151,5.75,3706.927,-1.862,1.10E-01,8,0.229,2.27E+06,1.3,2.2,0.545,1349.7,2.60E-06
335237.3,4263069.2,310.6,2,28:04:19:09:35:13,639313,0.115,127.68,96.48,35.08,0.71697,-0.43319,-0.54617,0.39249,0.89835,-0.19729,2.99E+06,167,109.5,6.26,5329.864,-1.683,2.90E-01,11,0.3015,8.03E+05,28.7,3,0.771,1312.6,2.27E-06
335389.3,4263087,429.2,2,28:04:19:09:37:04,639424,0.329,64.4,31.3,28.15,0.49058,-0.79929,-0.34707,0.34859,0.54505,-0.76251,4.36E+06,175.5,141.8,5.35,12434.82,-1.574,1.01E+00,11,0.3293,9.12E+05,16.9,6.2,0.871,1371.3,2.57E-06
335343.9,4263104.7,385.6,2,28:04:19:09:38:03,639483,0.019,80.7,32.86,26.04,0.64218,-0.5933,-0.48539,0.49013,0.80466,-0.3351,5.69E+06,124.8,141.9,6.62,8593.872,-1.497,8.93E-01,11,0.3163,1.97E+06,8.6,7.8,0.831,1345.2,2.66E-06
