,X,Y,Z,Temperature
458,335546.27891769476,4263051.485056531,636.924582203003,164.52301769475795
459,335545.9222162755,4263051.522915,639.166410518018,164.16441627546013
460,335545.6465308922,4263051.561770226,641.408238833033,163.88684577948416
461,335545.3362258279,4263051.6,643.650067148048,163.57502582791145
462,335545.1554306099,4263051.638082207,645.8918954630631,163.3922306099067
463,335544.8124223992,4263051.677,648.1337237780781,163.04765190375323
464,335544.5978891373,4263051.7151993215,650.3755520930931,162.8312891372782
465,335544.3709274431,4263051.734,652.6173804081079,162.60432744309378
466,335544.1271459428,4263051.731093795,654.859208723123,162.36254594285612
467,335543.83630694717,4263051.728999999,657.101037038138,162.07393113867516
468,335543.5202468104,4263051.726,659.342865353153,161.75994681036013
469,335543.2568666488,4263051.723999999,661.584693668168,161.49856664879087
470,335543.0991544083,4263051.721,663.826521983183,161.3428544083238
471,335542.92371837486,4263051.718,666.0683502981981,161.16931837486834
472,335542.74915077526,4263051.716,668.3101786132131,160.99675662002932
473,335542.5648531303,4263051.713,670.5520069282281,160.8148531302937
474,335542.4277500693,4263051.71,672.7938352432432,160.67975006929
475,335542.297480772,4263051.708000001,675.0356635582582,160.55138077200473
476,335542.12951968075,4263051.705,677.2774918732732,160.38541968072832
477,335541.9276252018,4263051.702,679.5193201882882,160.1854252018332
478,335541.7289049277,4263051.699,681.7611485033033,159.98920492769253
479,335541.60375466617,4263051.697,684.0029768183183,159.86595466615714
480,335541.4839257025,4263051.694,686.2448051333333,159.74812570247192
481,335541.45395765174,4263051.692,688.4866334483484,159.7200576517571
482,335541.14882719767,4263051.688999999,690.7284617633634,159.41692719766286
483,335541.0360016192,4263051.686000001,692.9702900783782,159.30637094433234
484,335540.89046072046,4263051.683999999,695.2121183933932,159.16296072049033
485,335540.79507725954,4263051.681,697.4539467084082,159.06947725951946
486,335540.729774206,4263051.678,699.6957750234233,159.00617420597044
487,335540.6520182932,4263051.676,701.9376033384383,158.9303182932322
488,335540.5566387195,4263051.673,704.1794316534533,158.83693871948822
489,335540.4681514984,4263051.67,706.4212599684683,158.75085149842033
490,335540.37680361554,4263051.667370368,708.6630882834834,158.6615036155732
491,335540.34009191947,4263051.665,710.9049165984984,158.6266919194505
492,335540.0849780097,4263051.662,713.1467449135134,158.37357800970733
493,335539.9017507005,4263051.66,715.3885732285285,158.19225070046792
494,335539.7672529097,4263051.657,717.6304015435435,158.06012485271128
495,335539.7714104571,4263051.654,719.8722298585585,158.0663104570632
496,335539.71460125037,4263051.652,722.1140581735735,158.01150125037594
497,335539.5969427395,4263051.649,724.3558864885886,157.89574273951533
498,335539.49596374243,4263051.646000001,726.5977148036036,157.79676374244474
499,335539.4362316871,4263051.643999999,728.8395431186186,157.738932343423
500,335539.29388132435,4263051.641,731.0813714336336,157.59908132434796
501,335539.1271943704,4263051.638,733.3231997486484,157.4342943703267
502,335538.8999661887,4263051.636,735.5650280636635,157.2090661887451
503,335538.7056582069,4263051.633,737.8068563786785,157.01665820690465
504,335538.5518823202,4263051.63,740.0486846936935,156.86488232019525
505,335538.4088863479,4263051.617889174,742.2905130087086,156.71743093527394
506,335538.0771692267,4263051.589,744.5323413237236,156.37018761496353
507,335537.3421418692,4263051.5595732,746.7741696387386,155.6194418691873
508,335536.5200697351,4263051.530329536,749.0159979537536,154.78193450274068
509,335535.9046233385,4263051.501475275,751.2578262687687,154.1512233385137
510,335535.6452813549,4263051.472,753.4996545837837,153.87634327767177
511,335535.45342254767,4263051.443,755.7414828987987,153.66903309143302
512,335535.383455903,4263051.413915156,757.9833112138137,153.58361348137768
513,335535.5003727661,4263051.385,760.2251395288288,153.68498535710154
514,335535.6544329833,4263051.355855998,762.4669678438438,153.82333298328794
515,335535.788523449,4263051.3263558475,764.7087961588588,153.94200137287265
516,335535.8855972419,4263051.297,766.9506244738739,154.0237972419355
517,335535.9827122996,4263051.268648965,769.1924527888889,154.10557188587524
518,335536.02500228107,4263051.239,771.4342811039039,154.13224017910622
