,X,Y,Z
277,335343.18251911964,4263044.27,63.01653355915914
278,335343.2366073996,4263044.298,65.25836187417417
279,335343.2813,4263044.318,67.50019018918908
280,335343.3257237428,4263044.338,69.74201850420411
281,335343.3704831224,4263044.358,71.98384681921914
282,335343.41481814766,4263044.3780000005,74.22567513423417
283,335343.45518632815,4263044.387,76.4675034492492
284,335343.49365205556,4263044.391,78.70933176426422
285,335343.5315809862,4263044.395,80.95116007927925
286,335343.57026728685,4263044.398,83.19298839429428
287,335343.6108648274,4263044.396483526,85.4348167093093
288,335343.6566380457,4263044.381,87.67664502432422
289,335343.7022468583,4263044.365706284,89.91847333933924
290,335343.7480801066,4263044.35,92.16030165435427
291,335343.79386829725,4263044.335,94.4021299693693
292,335343.84784230875,4263044.309184065,96.64395828438433
293,335343.90273825335,4263044.282068607,98.88578659939935
294,335343.9575470098,4263044.256,101.12761491441438
295,335344.0126960652,4263044.228999999,103.36944322942941
296,335344.0726887171,4263044.206722344,105.61127154444443
297,335344.1350155458,4263044.1857605055,107.85309985945946
298,335344.197320936,4263044.164,110.09492817447438
299,335344.26011554967,4263044.143122967,112.3367564894894
300,335344.32418754854,4263044.1280000005,114.57858480450443
301,335344.3921802201,4263044.1219999995,116.82041311951946
302,335344.46018082125,4263044.117,119.06224143453449
303,335344.5283305077,4263044.1110000005,121.30406974954951
304,335344.5965015125,4263044.106000001,123.54589806456454
305,335344.6597817887,4263044.117090876,125.78772637957957
306,335344.72263388435,4263044.128955923,128.0295546945946
307,335344.7856,4263044.14,130.2713830096095
308,335344.8486664254,4263044.151000001,132.51321132462454
309,335344.9143846827,4263044.17,134.75503963963956
310,335344.98194989143,4263044.193049892,136.9968679546546
311,335345.0497561591,4263044.217,139.23869626966962
312,335345.11695756443,4263044.24,141.48052458468464
313,335345.1944010204,4263044.263050511,143.72235289969967
314,335345.29085021716,4263044.287,145.9641812147147
315,335345.3877873062,4263044.310834923,148.20600952972973
316,335345.4841864984,4263044.334,150.44783784474464
317,335345.58431401785,4263044.357,152.68966615975967
318,335345.71691486664,4263044.3719999995,154.9314944747747
319,335345.8490914361,4263044.387479805,157.17332278978972
320,335345.98161950544,4263044.403,159.41515110480475
321,335346.11377682455,4263044.4180000005,161.65697941981978
322,335346.2715500997,4263044.421,163.8988077348348
323,335346.436520948,4263044.42,166.14063604984983
324,335346.6018993931,4263044.419,168.38246436486486
325,335346.7667998444,4263044.419,170.62429267987977
326,335346.943238221,4263044.409558831,172.8661209948948
327,335347.1361538334,4263044.388748872,175.10794930990983
328,335347.32859340677,4263044.368,177.34977762492485
329,335347.5214444793,4263044.347,179.59160593993988
330,335347.71654286457,4263044.325171424,181.8334342549549
331,335347.9327427734,4263044.296,184.07526256996994
332,335348.1493345389,4263044.266617805,186.31709088498496
333,335348.3654712626,4263044.237556885,188.5589192
334,335348.5815926375,4263044.208000001,190.8007475150149
335,335348.8228855143,4263044.179,193.04257583002993
336,335349.06724676915,4263044.15,195.28440414504496
337,335349.3116561615,4263044.120216369,197.52623246006
338,335349.556035204,4263044.091033632,199.768060775075
339,335349.8156103489,4263044.064879602,202.00988909009004
340,335350.0866151809,4263044.039443041,204.25171740510507
341,335350.357493297,4263044.014524873,206.4935457201201
342,335350.6282023437,4263043.99,208.73537403513512
343,335350.9017867425,4263043.967,210.97720235015004
344,335351.18432096136,4263043.953,213.21903066516506
345,335351.46640210267,4263043.938999999,215.4608589801801
346,335351.7484422645,4263043.925,217.70268729519512
347,335352.0294721583,4263043.912,219.94451561021015
348,335352.3066552336,4263043.904,222.18634392522517
349,335352.5841507027,4263043.896000001,224.4281722402402
350,335352.8616470955,4263043.887,226.67000055525523
351,335353.1386936439,4263043.879,228.91182887027026
352,335353.41166476056,4263043.869,231.15365718528528
353,335353.6836986361,4263043.859237519,233.3954855003002
354,335353.9557425374,4263043.849060587,235.63731381531522
355,335354.2282020882,4263043.839881002,237.87914213033025
356,335354.49959772726,4263043.824,240.12097044534528
357,335354.77112651593,4263043.805,242.3627987603603
358,335355.04236757173,4263043.786,244.60462707537533
359,335355.3139180731,4263043.767,246.84645539039036
360,335355.5854360575,4263043.748,249.0882837054054
361,335355.85706741275,4263043.728999999,251.33011202042042
362,335356.1284647832,4263043.71,253.57194033543533
363,335356.3998843927,4263043.691000001,255.81376865045036
364,335356.67147615424,4263043.672,258.0555969654654
365,335356.9427695216,4263043.653,260.2974252804804
366,335357.22421861417,4263043.633,262.53925359549544
367,335357.50787622796,4263043.613,264.78108191051047
368,335357.79178208276,4263043.593490833,267.0229102255255
369,335358.0753224906,4263043.573282144,269.2647385405405
370,335358.3589247515,4263043.553074257,271.50656685555555
371,335358.6424439266,4263043.533866043,273.74839517057046
372,335358.9259699511,4263043.5139999995,275.9902234855855
373,335359.2095966006,4263043.494,278.2320518006005
374,335359.49161909486,4263043.485752984,280.47388011561554
375,335359.76830403344,4263043.516949836,282.71570843063057
376,335360.0453311976,4263043.5481455,284.9575367456456
377,335360.3226113566,4263043.5793070095,287.1993650606606
