x,y,z
337833.693502,4261803.66621,1627.73156964
337836.545326,4261843.35123,1627.73156964
337827.643627,4261883.03626,1564.73551715
337840.572851,4261883.03626,1627.73156964
334716.0,4262676.73679,-342.916624715
334716.0,4262716.42181,-342.327923439
334716.0,4262756.10684,-341.542704868
332766.0,4259938.46997,-444.84145373
332766.0,4259978.155,-445.90466726
335566.0,4255559.66281,-325.146057694
335566.0,4255573.11708,-318.829957703
335566.0,4255612.8021,-301.824978228
334416.0,4258152.64379,-376.636974928
334416.0,4258192.32881,-378.875201119
334416.0,4258232.01384,-379.854418559
334216.0,4257993.90368,-374.534901316
334216.0,4258033.58871,-378.525373725
334216.0,4258073.27373,-381.896156295
334016.0,4259898.78494,-403.488943288
334066.0,4259898.78494,-396.403590814
334066.0,4259938.46997,-397.544537312
334016.0,4259938.46997,-404.72167646
334066.0,4259978.155,-396.8589613
334016.0,4259978.155,-404.061075277
337366.0,4259263.82452,1654.71188688
337316.0,4259303.50955,1678.01864929
337366.0,4259296.48022,1690.72762214
337350.694669,4259303.50955,1690.72762214
337316.0,4259324.69523,1690.72762214
336816.0,4260890.9106,843.646173612
336837.017309,4260890.9106,871.778939706
336816.0,4260872.0515,871.778939706
336866.0,4260930.59563,853.782658986
336866.0,4260918.46501,871.778939706
337366.0,4259223.65233,1501.73946465
337416.0,4259204.97956,1501.73946465
337191.28864,4256763.66787,-262.1500052
337166.0,4256749.54198,-262.1500052
337166.0,4256763.66787,-256.703614369
332716.0,4259740.04484,-439.069455818
332766.0,4259740.04484,-437.143203406
332816.0,4259740.04484,-435.146543976
332666.0,4259740.04484,-440.988412543
332666.0,4259779.72987,-442.634336529
335216.0,4255610.54919,-325.146057694
332066.0,4255878.5664,-451.138162684
336816.0,4261009.96568,724.629470628
336766.0,4260970.28065,716.705509047
336766.0,4261009.96568,685.970738778
332866.0,4260057.52505,-443.456353501
332816.0,4260057.52505,-445.716072634
332916.0,4260057.52505,-441.10521693
332766.0,4260017.84002,-446.888304294
332766.0,4260057.52505,-447.885805471
335666.0,4255692.17216,-277.929254314
335616.0,4255692.17216,-274.168605148
335716.0,4255692.17216,-284.772659099
335566.0,4255652.48713,-286.750874147
335566.0,4255692.17216,-273.367114486
334516.0,4258311.38389,-365.243127863
334466.0,4258311.38389,-372.72677201
334566.0,4258311.38389,-355.328055138
334416.0,4258271.69887,-379.50376429
334416.0,4258311.38389,-378.10675688
334316.0,4258152.64379,-383.428964581
334266.0,4258152.64379,-385.404444885
334366.0,4258152.64379,-380.538548059
334216.0,4258112.95876,-384.591550487
334216.0,4258152.64379,-386.656235045
335450.770592,4262914.84694,-325.146057694
335460.8959,4262954.53197,-325.146057694
335466.0,4262914.84694,-322.412363086
335466.0,4262954.53197,-324.096557267
337266.0,4256953.41275,-199.153952705
337216.0,4256933.29684,-199.153952705
337266.0,4256962.093,-195.303446368
337216.0,4256962.093,-186.860526378
337288.388769,4256962.093,-199.153952705
337190.396814,4256922.40797,-199.153952705
337166.0,4256911.59364,-199.153952705
337166.0,4256922.40797,-194.764274421
337166.0,4256962.093,-178.58053038
335266.0,4263125.28989,-325.146057694
335266.0,4263152.9571,-319.255795166
339817.482349,4262041.77636,-73.1618477155
339816.0,4262039.1985,-73.1618477155
339816.0,4262041.77636,-62.1712834964
334086.634493,4259819.41489,-388.142110189
334098.706624,4259859.09992,-388.142110189
334116.0,4259819.41489,-382.768847332
334116.0,4259859.09992,-384.778287828
338516.0,4263787.91752,1596.77307454
338516.0,4263775.53479,1627.73156964
338487.11829,4263787.91752,1627.73156964
337832.402548,4261922.72129,1564.73551715
337845.829541,4261922.72129,1627.73156964
337836.976552,4261962.40631,1564.73551715
337850.933894,4261962.40631,1627.73156964
334716.0,4262795.79186,-340.542157259
334716.0,4262835.47689,-339.309549894
332116.0,4255930.28231,-433.925236328
332116.0,4255969.96734,-424.362668519
