x,y,z
337441.374803,4261100.46015,1816.71972713
336570.984544,4258640.52808,1785.22170088
336570.984544,4258648.39255,1816.71972713
337032.966542,4259671.7992,1785.22170088
337029.59038,4259671.7992,1816.71972713
338019.964536,4262886.28633,1816.71972713
338016.890189,4262886.28633,1848.21775337
338019.915993,4262906.12884,1848.21775337
336319.025794,4258005.0281,1816.71972713
336316.479962,4258005.0281,1848.21775337
336570.772026,4258639.98852,1785.22170088
336567.698119,4258639.98852,1816.71972713
337676.246243,4261854.47565,1816.71972713
337673.554937,4261854.47565,1848.21775337
336894.475966,4258520.93344,-2498.50986876
338094.371491,4263203.76654,1816.71972713
338090.478568,4263203.76654,1848.21775337
338093.673713,4263223.60905,1848.21775337
338093.897903,4263243.45157,1848.21775337
338842.566094,4263918.09701,-2530.00789501
338839.212292,4263918.09701,-2498.50986876
337738.641212,4261973.53073,1816.71972713
337734.591064,4261973.53073,1848.21775337
337744.330077,4261993.37324,1848.21775337
336891.177461,4259274.94894,1785.22170088
336887.620085,4259274.94894,1816.71972713
337554.39809,4261457.62538,1753.72367463
337566.608325,4261497.31041,1753.72367463
337545.984544,4261457.62538,1827.76381796
337556.053473,4261497.31041,1848.21775337
337545.984544,4261464.43678,1848.21775337
337436.258586,4261060.77512,1753.72367463
337445.984544,4261093.65174,1753.72367463
337445.984544,4261100.46015,1772.88656976
336570.984544,4258639.98852,1783.63813505
336575.125508,4258639.98852,1753.72367463
336592.554785,4258679.67354,1753.72367463
336910.494934,4259314.63396,1753.72367463
336895.984544,4259281.13863,1753.72367463
337035.012764,4259671.7992,1753.72367463
337045.984544,4259709.43512,1753.72367463
337045.984544,4259711.48423,1764.7483728
337426.364982,4261060.77512,1848.21775337
337438.069129,4261100.46015,1848.21775337
338847.82792,4263957.78204,-2467.01184252
338845.984544,4263951.99666,-2467.01184252
336906.694343,4258560.61846,-2467.01184252
336895.984544,4258531.5239,-2467.01184252
337129.982819,4260108.33449,1816.71972713
337140.221979,4260148.01952,1816.71972713
338014.378555,4262886.28633,1879.71577962
338020.984544,4262923.05863,1879.71577962
338021.517666,4262925.97136,1879.71577962
337275.813897,4260544.86978,1816.71972713
337288.247408,4260584.55481,1816.71972713
337749.126828,4262013.21575,1879.71577962
337745.984544,4262006.45101,1879.71577962
337655.609822,4261814.79062,1879.71577962
337670.984544,4261851.78734,1879.71577962
337672.14223,4261854.47565,1879.71577962
337952.409035,4262529.12109,1879.71577962
337962.457776,4262568.80612,1879.71577962
338078.532126,4263481.56172,1879.71577962
338081.965565,4263521.24675,1879.71577962
336314.192075,4258005.0281,1879.71577962
336320.984544,4258023.26049,1879.71577962
336329.033234,4258044.71312,1879.71577962
338129.440147,4263799.04194,1879.71577962
338138.995513,4263838.72696,1879.71577962
336565.803494,4258639.98852,1848.21775337
336570.984544,4258652.11467,1848.21775337
336583.066059,4258679.67354,1848.21775337
336900.562189,4259314.63396,1848.21775337
336895.984544,4259303.99768,1848.21775337
337025.485712,4259671.7992,1848.21775337
337036.936538,4259711.48423,1848.21775337
338858.288358,4263957.78204,-2561.50592126
338845.984544,4263919.33151,-2561.50592126
338020.984544,4262886.28633,1809.02350294
338024.223279,4262886.28633,1785.22170088
338031.423979,4262925.97136,1785.22170088
338098.273692,4263243.45157,1785.22170088
338095.984544,4263216.58549,1785.22170088
336901.210524,4258520.93344,-2561.50592126
336915.701866,4258560.61846,-2561.50592126
337139.760018,4260108.33449,1722.22564838
337145.984544,4260131.74767,1722.22564838
337145.984544,4260148.01952,1750.24476195
337760.374252,4262013.21575,1785.22170088
337745.984544,4261982.29433,1785.22170088
337664.408135,4261814.79062,1785.22170088
337670.984544,4261830.51918,1785.22170088
337681.537242,4261854.47565,1785.22170088
337961.622345,4262529.12109,1785.22170088
337970.984544,4262565.71139,1785.22170088
337970.984544,4262568.80612,1802.29431222
337971.752034,4262568.80612,1785.22170088
338091.588859,4263481.56172,1785.22170088
338094.813021,4263521.24675,1785.22170088
