,X,Y,Z,Pressure
713,335473.02393080323,4263044.24,1208.5908025318317,93.01953080323435
714,335472.5968072998,4263044.198,1210.8326308468468,92.57659273651664
715,335472.1727575057,4263044.156,1213.0744591618618,92.13715750565434
716,335471.7517829063,4263044.114989349,1215.3162874768768,91.70047758057875
717,335471.3142552424,4263044.073,1217.5581157918919,91.24735524244514
718,335470.9003822037,4263044.030279389,1219.7999441069069,90.81802189797824
719,335470.4341637252,4263043.989,1222.041772421922,90.33614325100847
720,335470.0508395527,4263043.947,1224.283600736937,89.93753955266585
721,335469.55843313545,4263043.905,1226.5254290519517,89.42953313544074
722,335469.1829547185,4263043.863,1228.7672573669668,89.03845471848928
723,335468.75044822064,4263043.821,1231.0090856819818,88.59024822063446
724,335468.3354609669,4263043.779,1233.2509139969968,88.15966096686331
725,335467.9095909557,4263043.741,1235.4927423120118,87.72449095569377
726,335467.4837819056,4263043.703,1237.7345706270269,87.289481905663
727,335467.04504477215,4263043.665,1239.976398942042,86.84145501321284
728,335466.6091699216,4263043.626725788,1242.218227257057,86.39663281547077
729,335466.16803795885,4263043.588668758,1244.460055572072,85.946337958849
730,335465.74826005596,4263043.551,1246.701883887087,85.51726005591284
731,335465.321659106,4263043.512,1248.943712202102,85.0817328473366
732,335464.87818220956,4263043.4744103765,1251.185540517117,84.62918220952271
733,335464.45533617685,4263043.436138563,1253.427368832132,84.19703617686561
734,335464.02038147487,4263043.39819252,1255.669197147147,83.75287773511957
735,335463.5935175996,4263043.36,1257.9110254621621,83.31703356290424
736,335463.11285487894,4263043.3221598035,1260.1528537771771,82.82725487893315
737,335462.7019802299,4263043.284,1262.3946820921922,82.40708022990178
738,335462.29974299,4263043.246051723,1264.6365104072072,81.99604299003188
739,335461.8631405225,4263043.208000001,1266.878338722222,81.55014052249679
740,335461.40063199424,4263043.17,1269.120167037237,81.07833199422441
741,335460.9938614716,4263043.132,1271.361995352252,80.66248223165515
742,335460.57415624236,4263043.094,1273.603823667267,80.23383941454344
743,335460.1266543118,4263043.055778031,1275.845651982282,79.77705431174444
744,335459.4898233621,4263043.018,1278.0874802972971,79.13092336212245
745,335459.1647209043,4263042.98,1280.3293086123122,78.7970209043016
746,335458.83866443473,4263042.942,1282.5711369273272,78.46166443474488
747,335458.3997506032,4263042.903533737,1284.8129652423422,78.01355060315642
748,335457.61752984463,4263042.865605584,1287.0547935573572,77.22233263682263
749,335457.368607951,4263042.828,1289.2966218723723,76.96430795100598
750,335456.61619029345,4263042.789821558,1291.5384501873873,76.20259029340224
751,335456.24955973437,4263042.751,1293.7802785024023,75.82665973436043
752,335455.9881202429,4263042.713152338,1296.0221068174174,75.55652024285676
753,335455.27793805883,4263042.676,1298.2639351324324,74.83703805882817
754,335454.8338628022,4263042.63763556,1300.5057634474474,74.38366280217178
755,335454.63279346225,4263042.599392431,1302.7475917624624,74.17348967808758
756,335454.08992327354,4263042.561391382,1304.9894200774775,73.62162327352294
757,335453.7365670949,4263042.522936802,1307.2312483924923,73.25906709495382
758,335453.270404162,4263042.485,1309.4730767075073,72.78360416199922
759,335452.72661008313,4263042.447196115,1311.7149050225223,72.23101008309321
760,335452.47809879435,4263042.409,1313.9567333375373,71.97319879436314
761,335452.1619851138,4263042.371,1316.1985616525524,71.64778511382094
762,335451.42076224874,4263042.333000001,1318.4403899675674,70.8975946461215
763,335451.2443235334,4263042.296,1320.6822182825824,70.71238142052555
764,335450.8723060218,4263042.27,1322.9240465975975,70.33570602180671
765,335450.55758266133,4263042.243,1325.1658749126125,70.01658266129095
766,335450.165923347,4263042.216,1327.4077032276275,69.62002334695036
767,335449.43758477736,4263042.188999999,1329.6495315426425,68.88728477734267
768,335449.2076012798,4263042.162,1331.8913598576576,68.65240127977448
769,335448.8734899458,4263042.135,1334.1331881726726,68.31388994580179
770,335448.42633579223,4263042.108639807,1336.3750164876876,67.86233579220516
771,335447.84525876096,4263042.0819999995,1338.6168448027026,67.27645876094348
772,335447.48930248467,4263042.055,1340.8586731177177,66.91610248470279
773,335446.93275552994,4263042.028,1343.1005014327327,66.35465552997395
774,335446.6458394886,4263042.001386539,1345.3423297477477,66.06333948857072
775,335446.23349567864,4263041.975,1347.5841580627628,65.64659567866575
776,335445.74891557475,4263041.948,1349.8259863777776,65.15711557473051
777,335445.3755437193,4263041.921,1352.0678146927926,64.77934371924198
778,335444.9145320572,4263041.893999999,1354.3096430078076,64.31343205715811
779,335444.5109811624,4263041.86704714,1356.5514713228226,63.905481162433006
780,335443.615595267,4263041.840578179,1358.7932996378377,63.00548435631978
781,335443.4295773744,4263041.813481055,1361.0351279528527,62.81487737445782
782,335443.1742499166,4263041.787,1363.2769562678677,62.55514991660442
783,335442.758280991,4263041.76,1365.5187845828827,62.13428099101132
784,335442.3030641552,4263041.733,1367.7606128978978,61.6746641552042
785,335441.81472274056,4263041.70695759,1370.0024412129128,61.18142274054629
786,335441.2267061716,4263041.68,1372.2442695279278,60.5890061715632
787,335440.65356303856,4263041.653,1374.4860978429429,60.011463038543326
788,335440.26394955436,4263041.626,1376.7279261579579,59.61694955437948
789,335439.5375975424,4263041.598999999,1378.969754472973,58.8861975424285
790,335439.45539811766,4263041.572347172,1381.211582787988,58.79909811769709
791,335439.24474024784,4263041.545752423,1383.453411103003,58.58414024781402
792,335438.8130636538,4263041.518999999,1385.695239418018,58.148063653852255
793,335437.76627550775,4263041.492,1387.937067733033,57.09637550775313
794,335437.44630809553,4263041.465115462,1390.1788960480478,56.77200809549249
795,335437.07586364483,4263041.438,1392.4207243630628,56.39666364484538
796,335436.43765724683,4263041.4116870845,1394.6625526780779,55.75405724683349
797,335436.0946160069,4263041.385,1396.904380993093,55.40636020970208
798,335435.5710589244,4263041.358,1399.146209308108,54.87815892440593
799,335435.06858352484,4263041.331,1401.388037623123,54.3712835248636
800,335434.775468934,4263041.304287314,1403.629865938138,54.073368933975864
801,335434.64780204813,4263041.27725518,1405.871694253153,53.941302048151684
802,335434.0505124597,4263041.250949661,1408.113522568168,53.33911245974857
803,335433.84295049356,4263041.223999999,1410.355350883183,53.12715049353135
804,335433.51309793023,4263041.197,1412.597179198198,52.79273509301448
805,335433.1486654565,4263041.17,1414.8390075132131,52.423565456549284
806,335432.6161241987,4263041.143999999,1417.0808358282281,51.88662419867786
807,335432.1655670817,4263041.142,1419.3226641432432,51.4336670816979
